id;mois;stade;date_audience
1;Juin;../fake-data/blob/hipster.txt;2021-08-18
2;Juin;../fake-data/blob/hipster.txt;2021-08-18
3;Mars;../fake-data/blob/hipster.txt;2021-08-18
4;Septembre;../fake-data/blob/hipster.txt;2021-08-18
5;Aout;../fake-data/blob/hipster.txt;2021-08-18
6;Janvier;../fake-data/blob/hipster.txt;2021-08-18
7;Juin;../fake-data/blob/hipster.txt;2021-08-18
8;Fevrier;../fake-data/blob/hipster.txt;2021-08-18
9;Mai;../fake-data/blob/hipster.txt;2021-08-18
10;Fevrier;../fake-data/blob/hipster.txt;2021-08-18
